checkpoint_step,batch_size,epsilon,mean_delta_loss,stderr_delta_loss,mean_loss_change,stderr_loss_change,n
100,4,0.0001,9.451296329497371e-05,6.414010328841781e-05,-9.451296329497371e-05,6.414010328841781e-05,10
100,4,0.0003,0.0002799025058746185,0.00019140660564841874,-0.0002799025058746185,0.00019140660564841874,10
100,4,0.001,0.0008905490159988316,0.000626101060246334,-0.0008905490159988316,0.000626101060246334,10
100,4,0.002,0.00166110408306121,0.0012192531409179854,-0.00166110408306121,0.0012192531409179854,10
100,4,0.003,0.002312376976013164,0.0017808573376304209,-0.002312376976013164,0.0017808573376304209,10
100,4,0.005,0.0032600112438201877,0.0028147675332856675,-0.0032600112438201877,0.0028147675332856675,10
100,4,0.007,0.003735077786445612,0.0037362930970499114,-0.003735077786445612,0.0037362930970499114,10
100,4,0.01,0.0035647321939468236,0.0049365123154461845,-0.0035647321939468236,0.0049365123154461845,10
100,4,0.015,0.0009239795446395749,0.006587549782200577,-0.0009239795446395749,0.006587549782200577,10
100,4,0.02,-0.004734329175949109,0.008074224911059217,0.004734329175949109,0.008074224911059217,10
100,4,0.03,-0.025933626914024354,0.012366425724494562,0.025933626914024354,0.012366425724494562,10
100,4,0.05,-0.1146884672641754,0.03912623291803325,0.1146884672641754,0.03912623291803325,10
100,4,0.07,-0.2654150213241578,0.0924776450267698,0.2654150213241578,0.0924776450267698,10
100,4,0.1,-0.5915486002445223,0.20768979260812526,0.5915486002445223,0.20768979260812526,10
100,4,0.15,-1.3470638543128968,0.4666985986022907,1.3470638543128968,0.4666985986022907,10
100,4,0.2,-2.3106193228960037,0.7859943008148784,2.3106193228960037,0.7859943008148784,10
100,4,0.3,-4.729432913899421,1.554193970344305,4.729432913899421,1.554193970344305,10
100,4,0.5,-11.1922741065979,3.5187166231154854,11.1922741065979,3.5187166231154854,10
100,4,1.0,-35.88534303503037,11.096291564621266,35.88534303503037,11.096291564621266,10
100,8,0.0001,0.00010293321609495255,3.443287857183242e-05,-0.00010293321609495255,3.443287857183242e-05,10
100,8,0.0003,0.00030696477890013727,0.00010246115662711938,-0.00030696477890013727,0.00010246115662711938,10
100,8,0.001,0.0010022365093231122,0.0003319314478218059,-0.0010022365093231122,0.0003319314478218059,10
100,8,0.002,0.0019456177711486666,0.0006371607752037419,-0.0019456177711486666,0.0006371607752037419,10
100,8,0.003,0.002830340552330002,0.0009158296915963805,-0.002830340552330002,0.0009158296915963805,10
100,8,0.005,0.004423322701454152,0.0013945316026594981,-0.004423322701454152,0.0013945316026594981,10
100,8,0.007,0.0057778700351715,0.0017681897061690203,-0.0057778700351715,0.0017681897061690203,10
100,8,0.01,0.0073588207721710045,0.002140300396567999,-0.0073588207721710045,0.002140300396567999,10
100,8,0.015,0.008764421796798694,0.002337912393839396,-0.008764421796798694,0.002337912393839396,10
100,8,0.02,0.008542697477340683,0.0024321341475647667,-0.008542697477340683,0.0024321341475647667,10
100,8,0.03,0.0023073722124099584,0.006745468229435868,-0.0023073722124099584,0.006745468229435868,10
100,8,0.05,-0.04104867146015169,0.039695507043171124,0.04104867146015169,0.039695507043171124,10
100,8,0.07,-0.1306501198291779,0.1052048135956127,0.1306501198291779,0.1052048135956127,10
100,8,0.1,-0.3430512911558151,0.24779865117520444,0.3430512911558151,0.24779865117520444,10
100,8,0.15,-0.8919234649181368,0.5664877171780974,0.8919234649181368,0.5664877171780974,10
100,8,0.2,-1.6413909240245819,0.9488248572768389,1.6413909240245819,0.9488248572768389,10
100,8,0.3,-3.567374251222611,1.8396500751618938,3.567374251222611,1.8396500751618938,10
100,8,0.5,-8.812413372707367,4.140421193134195,8.812413372707367,4.140421193134195,10
100,8,1.0,-28.60472225165367,13.135851726094952,28.60472225165367,13.135851726094952,10
100,16,0.0001,0.00013962595462798099,2.6433593639207076e-05,-0.00013962595462798099,2.6433593639207076e-05,10
100,16,0.0003,0.0004176824569702087,7.898573809052424e-05,-0.0004176824569702087,7.898573809052424e-05,10
100,16,0.001,0.0013785999059677035,0.00025979198094098203,-0.0013785999059677035,0.00025979198094098203,10
100,16,0.002,0.0027184336900710924,0.0005096110379320265,-0.0027184336900710924,0.0005096110379320265,10
