checkpoint_step,batch_size,epsilon,sample_id,loss_before,loss_after,delta_loss
100,4,0.0001,0,0.4198776195049286,0.4198708777427673,6.741762161255327e-06
100,4,0.0003,0,0.4198776195049286,0.4198619508743286,1.5668630599985356e-05
100,4,0.001,0,0.4198776195049286,0.41987922167778013,-1.6021728515558387e-06
100,4,0.002,0,0.4198776195049286,0.42003522634506224,-0.00015760684013366166
100,4,0.003,0,0.4198776195049286,0.42034515953063967,-0.00046754002571108844
100,4,0.005,0,0.4198776195049286,0.4214238646030426,-0.0015462450981140186
100,4,0.007,0,0.4198776195049286,0.4231053874492645,-0.0032277679443359353
100,4,0.01,0,0.4198776195049286,0.4267536790370941,-0.006876059532165524
100,4,0.015,0,0.4198776195049286,0.43586210918426516,-0.015984489679336578
100,4,0.02,0,0.4198776195049286,0.4487867021560669,-0.02890908265113834
100,4,0.03,0,0.4198776195049286,0.486221755027771,-0.0663441355228424
100,4,0.05,0,0.4198776195049286,0.6070692801475525,-0.18719166064262388
100,4,0.07,0,0.4198776195049286,0.783321265220642,-0.36344364571571347
100,4,0.1,0,0.4198776195049286,1.1260373096466065,-0.706159690141678
100,4,0.15,0,0.4198776195049286,1.8648640022277831,-1.4449863827228546
100,4,0.2,0,0.4198776195049286,2.814676820755005,-2.394799201250076
100,4,0.3,0,0.4198776195049286,5.348326038360596,-4.928448418855667
100,4,0.5,0,0.4198776195049286,12.430616180419921,-12.010738560914993
100,4,1.0,0,0.4198776195049286,38.8330625,-38.413184880495066
100,4,0.0001,1,0.4198776195049286,0.41984014797210695,3.747153282163129e-05
100,4,0.0003,1,0.4198776195049286,0.4197656145095825,0.00011200499534608221
100,4,0.001,1,0.4198776195049286,0.4195092649459839,0.0003683545589446835
100,4,0.002,1,0.4198776195049286,0.4191548099517822,0.000722809553146353
100,4,0.003,1,0.4198776195049286,0.41881450033187867,0.001063119173049909
100,4,0.005,1,0.4198776195049286,0.4181758368015289,0.0017017827033996569
100,4,0.007,1,0.4198776195049286,0.417592581987381,0.0022850375175476056
100,4,0.01,1,0.4198776195049286,0.4168232035636902,0.0030544159412383975
100,4,0.015,1,0.4198776195049286,0.41582237792015075,0.0040552415847778245
100,4,0.02,1,0.4198776195049286,0.4151771674156189,0.004700452089309692
100,4,0.03,1,0.4198776195049286,0.4149447274208069,0.004932892084121676
100,4,0.05,1,0.4198776195049286,0.41879100489616394,0.0010866146087646356
100,4,0.07,1,0.4198776195049286,0.4285258235931396,-0.008648204088211042
100,4,0.1,1,0.4198776195049286,0.45464019870758055,-0.034762579202651966
100,4,0.15,1,0.4198776195049286,0.5307367906570435,-0.11085917115211491
100,4,0.2,1,0.4198776195049286,0.6511844477653503,-0.23130682826042176
100,4,0.3,1,0.4198776195049286,1.042717963218689,-0.6228403437137604
100,4,0.5,1,0.4198776195049286,2.468207191467285,-2.0483295719623564
100,4,1.0,1,0.4198776195049286,8.767285652160645,-8.347408032655716
100,4,0.0001,2,0.4198776195049286,0.41976399421691896,0.00011362528800962224
100,4,0.0003,2,0.4198776195049286,0.41953903961181643,0.0003385798931121453
100,4,0.001,2,0.4198776195049286,0.4187751843929291,0.001102435111999478
100,4,0.002,2,0.4198776195049286,0.417747460603714,0.002130158901214596
100,4,0.003,2,0.4198776195049286,0.41679415631294253,0.0030834631919860467
100,4,0.005,2,0.4198776195049286,0.4151109676361084,0.004766651868820193
100,4,0.007,2,0.4198776195049286,0.41372596168518067,0.006151657819747913
100,4,0.01,2,0.4198776195049286,0.41221082949638366,0.007666790008544921
100,4,0.015,2,0.4198776195049286,0.4112182455062866,0.008659373998641973
100,4,0.02,2,0.4198776195049286,0.4121830976009369,0.007694521903991669
100,4,0.03,2,0.4198776195049286,0.4201512427330017,-0.00027362322807311656
100,4,0.05,2,0.4198776195049286,0.46137800693511966,-0.04150038743019108
100,4,0.07,2,0.4198776195049286,0.5374706616401672,-0.11759304213523863
100,4,0.1,2,0.4198776195049286,0.717391152381897,-0.2975135328769684
100,4,0.15,2,0.4198776195049286,1.1859218349456788,-0.7660442154407503
100,4,0.2,2,0.4198776195049286,1.8537279434204101,-1.4338503239154816
100,4,0.3,2,0.4198776195049286,3.668296758651733,-3.2484191391468045
100,4,0.5,2,0.4198776195049286,8.709970916748047,-8.290093297243118
100,4,1.0,2,0.4198776195049286,26.91862098693848,-26.49874336743355
100,4,0.0001,3,0.4198776195049286,0.4192818202972412,0.0005957992076873753
100,4,0.0003,3,0.4198776195049286,0.4181029272079468,0.0017746922969817946
100,4,0.001,3,0.4198776195049286,0.41411122369766235,0.005766395807266234
100,4,0.002,3,0.4198776195049286,0.40876386284828187,0.011113756656646712
100,4,0.003,3,0.4198776195049286,0.4038317866325378,0.016045832872390753
100,4,0.005,3,0.4198776195049286,0.3951958796977997,0.0246817398071289
100,4,0.007,3,0.4198776195049286,0.38820914793014527,0.03166847157478331
100,4,0.01,3,0.4198776195049286,0.38078095102310183,0.039096668481826746
100,4,0.015,3,0.4198776195049286,0.3764836599826813,0.04339395952224728
100,4,0.02,3,0.4198776195049286,0.38269474625587463,0.03718287324905395
100,4,0.03,3,0.4198776195049286,0.4322696282863617,-0.012392008781433095
100,4,0.05,3,0.4198776195049286,0.7226065611839294,-0.30272894167900083
100,4,0.07,3,0.4198776195049286,1.2353803100585938,-0.8155026905536653
100,4,0.1,3,0.4198776195049286,2.28397211265564,-1.8640944931507113
100,4,0.15,3,0.4198776195049286,4.594489818572998,-4.174612199068069
100,4,0.2,3,0.4198776195049286,7.451469409942627,-7.031591790437698
100,4,0.3,3,0.4198776195049286,14.458777145385742,-14.038899525880813
100,4,0.5,3,0.4198776195049286,32.91818569946289,-32.49830807995796
100,4,1.0,3,0.4198776195049286,105.15736096191407,-104.73748334240913
100,4,0.0001,4,0.4198776195049286,0.4198763029575348,1.3165473937704064e-06
100,4,0.0003,4,0.4198776195049286,0.419873822927475,3.7965774535853036e-06
100,4,0.001,4,0.4198776195049286,0.4198656914234161,1.1928081512457833e-05
100,4,0.002,4,0.4198776195049286,0.4198556411266327,2.197837829587268e-05
100,4,0.003,4,0.4198776195049286,0.4198474402427673,3.0179262161256215e-05
100,4,0.005,4,0.4198776195049286,0.41983689403533936,4.0725469589220076e-05
100,4,0.007,4,0.4198776195049286,0.4198338406085968,4.377889633178089e-05
100,4,0.01,4,0.4198776195049286,0.4198433635234833,3.425598144529696e-05
100,4,0.015,4,0.4198776195049286,0.419896600484848,-1.8980979919425156e-05
100,4,0.02,4,0.4198776195049286,0.4199956741333008,-0.00011805462837222169
100,4,0.03,4,0.4198776195049286,0.42032895708084106,-0.00045133757591248047
100,4,0.05,4,0.4198776195049286,0.4215305757522583,-0.0016529562473296955
100,4,0.07,4,0.4198776195049286,0.42342744541168215,-0.0035498259067535676
100,4,0.1,4,0.4198776195049286,0.4275646421909332,-0.00768702268600463
100,4,0.15,4,0.4198776195049286,0.43790852999687196,-0.018030910491943386
100,4,0.2,4,0.4198776195049286,0.4526704845428467,-0.03279286503791812
100,4,0.3,4,0.4198776195049286,0.4968952760696411,-0.07701765656471254
100,4,0.5,4,0.4198776195049286,0.6614431409835816,-0.241565521478653
100,4,1.0,4,0.4198776195049286,1.6161166400909424,-1.1962390205860138
100,4,0.0001,5,0.4198776195049286,0.4198856816291809,-8.062124252306013e-06
100,4,0.0003,5,0.4198776195049286,0.4199030637741089,-2.544426918033027e-05
100,4,0.001,5,0.4198776195049286,0.41997644591331484,-9.882640838626555e-05
100,4,0.002,5,0.4198776195049286,0.420115859746933,-0.00023824024200441718
100,4,0.003,5,0.4198776195049286,0.4202960031032562,-0.00041838359832763183
100,4,0.005,5,0.4198776195049286,0.42078063130378723,-0.000903011798858655
100,4,0.007,5,0.4198776195049286,0.42143243622779847,-0.0015548167228698895
100,4,0.01,5,0.4198776195049286,0.42272683620452883,-0.0028492166996002544
100,4,0.015,5,0.4198776195049286,0.42574667096138,-0.005869051456451446
100,4,0.02,5,0.4198776195049286,0.42987355184555054,-0.00999593234062196
100,4,0.03,5,0.4198776195049286,0.44164820075035094,-0.02177058124542236
100,4,0.05,5,0.4198776195049286,0.4809338483810425,-0.061056228876113894
100,4,0.07,5,0.4198776195049286,0.544604193687439,-0.12472657418251037
100,4,0.1,5,0.4198776195049286,0.6929224920272827,-0.27304487252235415
100,4,0.15,5,0.4198776195049286,1.0862411766052247,-0.6663635571002962
100,4,0.2,5,0.4198776195049286,1.6590348339080812,-1.2391572144031526
100,4,0.3,5,0.4198776195049286,3.3337464714050293,-2.9138688519001006
100,4,0.5,5,0.4198776195049286,8.45496868133545,-8.03509106183052
100,4,1.0,5,0.4198776195049286,27.47620947265625,-27.056331853151324
100,4,0.0001,6,0.4198776195049286,0.4198423156738281,3.5303831100452765e-05
100,4,0.0003,6,0.4198776195049286,0.41977345514297487,0.00010416436195370693
100,4,0.001,6,0.4198776195049286,0.4195499863624573,0.00032763314247130637
100,4,0.002,6,0.4198776195049286,0.4192769610881805,0.0006006584167480566
100,4,0.003,6,0.4198776195049286,0.4190593857765198,0.0008182337284087793
100,4,0.005,6,0.4198776195049286,0.41878775334358215,0.001089866161346431
100,4,0.007,6,0.4198776195049286,0.4187293939590454,0.0011482255458831747
100,4,0.01,6,0.4198776195049286,0.41903719449043275,0.000840425014495827
100,4,0.015,6,0.4198776195049286,0.420578599691391,-0.0007009801864624188
